heat_num,grado,num_cga_met,TCM,Time_Vac_Vac,Power_ON,Tpo_Aux,Total_min_Demoras,tco_kwh,Potencia,O2,Grafito,Cal_Total,Cal_Total_Sid,Cal_Total_Dol,muestra_temp,muestra_ppmo2,c1_tco_tpo_con,c1_tco_kwh,c1_tco_mw_prom,c2_tco_tpo_con,c2_tco_kwh,c2_tco_mw_prom,c7_tco_tpo_con,c7_tco_kwh,c7_tco_mw_prom,cga_met_1,cga_met_2,cga_met_3,CH01,CH02,CH03,CH04,CH05,CH06,CH07,CH08,CH09,CH10,CH11,CH15,CH31,CH33,CH34,CH50,CH60,CH63,CH64,CH67,CH70,CH71,CH01_C1,CH02_C1,CH03_C1,CH04_C1,CH05_C1,CH06_C1,CH07_C1,CH08_C1,CH09_C1,CH10_C1,CH11_C1,CH15_C1,CH31_C1,CH33_C1,CH34_C1,CH50_C1,CH60_C1,CH63_C1,CH64_C1,CH67_C1,CH70_C1,CH71_C1,CH01_C2,CH02_C2,CH03_C2,CH04_C2,CH05_C2,CH06_C2,CH07_C2,CH08_C2,CH09_C2,CH10_C2,CH11_C2,CH15_C2,CH31_C2,CH33_C2,CH34_C2,CH50_C2,CH60_C2,CH63_C2,CH64_C2,CH67_C2,CH70_C2,CH71_C2,CaO,MgO,sio2,al2o3,mno,s,fe2o3,ib2,ib4,feo,IB3
462896,251046-6DEA,2,170.5410004,44.76666641,34.68333435,4.26666594,4.81666601,45935,95.54000092,5207.5,2177.5,5773,2800,2973,1634,409,15.41666985,22023,86,NULL,NULL,NULL,0,0,-1,75.571,94.97,0,6.351,0,37.895,0,0,13.63,8.436,64.04,0,16.368,0,0,7.906,0,6.19,9.725,0,0,0,0,0,0,6.351,0,9.497,0,0,13.63,8.436,0,0,16.368,0,0,0,0,0,6.289,0,0,0,0,0,0,0,0,28.398,0,0,0,0,29.04,0,0,0,0,7.906,0,6.19,3.436,0,0,0,0,0,0,61.94882,6.88412,24.72454,3.70284,0.22302,4.15065,0.83426,2.956608,2.857252,0.751542,2.17919555
462897,251028 DEA,2,182.727005,68.34999847,43.28333282,6.50666571,17.56,56505,92.5,4948.75,2772.5,5946,2867,3079,1620,285,17.75,23851,81,15.68332958,23152,89,5.86666489,8347,85,90.072,92.655,0,0,10.688,64.677,0,0,0,0,80.131,0,11.249,0,0,10.244,0,5.738,0,0,0,0,0,0,0,0,10.688,29.382,0,0,0,0,23.753,0,11.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.295,0,0,0,0,21.378,0,0,0,0,10.244,0,5.738,0,0,0,0,0,0,0,62.74178,7.12602,26.15234,2.65618,0.10148,4.856408,0.56522,2.830938,2.861736,0.50917,2.177889735
462898,251028 DEA,2,181.2330017,123.0333328,42.66666412,8.4766655,70.8900001,55445,92.33000183,5666.25,1790,5239,2160,3079,1648,353,16.56666946,22377,81,16.83333015,24624,88,5.23333406,7295,84,87.034,94.199,0,0,12.47,55.891,0,0,0,0,84.371,0,12.127,0,0,9.877,0,6.497,0,0,0,0,0,0,0,0,12.47,24.063,0,0,0,0,23.374,0,12.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.828,0,0,0,0,25.997,0,0,0,0,9.877,0,6.497,0,0,0,0,0,0,0,60.26968,7.87296,25.90572,2.84852,0.10856,4.711386,0.61596,2.74527,2.796364,0.554954,2.096027577
462899,251028 DEA,2,183.3480072,46.48332977,39.18333054,4.64999914,1.64999998,51715,94.19999695,5301.25,1290,6146,3093,3053,1628,526,15.33333015,21213,83,17.43333054,25787,89,2.43333411,3568,88,79.277,104.071,0,6.134,0,43.832,0,0,12.307,9.891,65.384,0,15.832,0,0,10.847,0,5.359,8.969,4.793,0,0,0,0,0,6.134,0,12.206,0,0,12.307,9.891,0,0,15.832,0,0,0,0,0,3.114,4.793,0,0,0,0,0,0,0,31.626,0,0,0,0,30.384,0,0,0,0,10.847,0,5.359,5.855,0,0,0,0,0,0,59.39412,7.29004,25.6532,2.14996,0.1121,4.080204,0.46728,2.732054,2.830112,0.421024,2.136236313
462906,251028 DEA,2,183.2870026,49.34999847,40.31666565,7.19999981,0.833333,54245,95.66999817,5467.5,2096.25,6146,3093,3053,1565,427,15.33333015,21930,86,16.66666985,25071,90,4.33333206,6091,84,85.005,98.282,0,6.714,0,50.496,0,0,12.052,8.212,64.488,0,13.379,0,0,9.584,0,5.677,7.991,4.694,0,0,0,0,0,6.714,0,21.925,0,0,12.052,8.212,0,0,13.379,0,0,0,0,0,3.029,4.694,0,0,0,0,0,0,0,28.571,0,0,0,0,29.488,0,0,0,0,9.584,0,5.677,4.962,0,0,0,0,0,0,36.3086,9.0742,16.3784,10.266,7.3632,0.1062,30.7862,2.615942,2.009894,27.73531,1.362710363
462907,251028-G40DEA,2,183.5140076,46.09999847,37.56666565,6.81666565,0.71666598,50465,96.18998718,5250,1916.25,5799,2680,3119,1551,355,13.68332958,19236,84,18.29999924,27764,91,1.56666601,2311,89,80.842,102.672,0,6.758,0,45.251,0,0,13.709,7.284,59.646,0,18.033,0,0,13.349,0,5.758,9.04,4.686,0,0,0,0,0,6.758,0,10.577,0,0,13.709,7.284,0,0,18.033,0,0,0,0,0,4.795,4.686,0,0,0,0,0,0,0,34.674,0,0,0,0,24.646,0,0,0,0,13.349,0,5.758,4.245,0,0,0,0,0,0,34.6094,10.0182,15.3282,8.0476,7.1626,0.1062,38.291,2.664322,2.252738,34.496356,1.480565371
462908,25102-2A,2,183.7059937,47.61666107,38.49999619,6.78333282,1.33333302,51735,95.97000122,5383.75,1950,5812,2680,3133,1551,391,14.16666985,19223,81,17.91666031,27778,93,2.41666794,3580,89,80.058,103.648,0,6.881,31.74,42.4,0,7.399,7.941,0,70.576,0,0,0,0,0,0,4.823,7.74,4.206,0,0,0,0,0,6.881,5.2,23.352,0,7.399,7.941,0,3.771,0,0,0,0,0,0,0,6.308,4.206,0,0,0,0,0,0,26.54,19.048,0,0,0,0,31.805,0,0,0,0,0,0,4.823,1.432,0,0,0,0,0,0,30.8216,9.3338,14.3016,7.8942,6.785,0.0944,47.3062,2.543018,2.134738,42.618178,1.388623073
462931,2510088 VDEDEA,2,183.7700043,65.18333054,53.84999847,8.61666584,1.71666604,65055,85.12000275,4737.5,3401.25,6786,2693,4092,1552,793,22.33333015,28073,75,14.68332958,18928,77,12.69999981,16905,80,90.676,93.094,0,7.379,35.041,39.624,0,4.757,10.8,0,84.029,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,7.379,15,15.6,0,4.757,10.8,0,20,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,20.041,24.024,0,0,0,0,29.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3822,9.3692,16.3902,9.3456,8.5904,0.1062,35.3882,2.403306,1.960216,31.88124,1.297111417
462932,2510088 VDEDEA,2,181.3679962,136.9666596,41.59999847,6.93333292,87.43333203,53645,92.09999847,5732.5,3246.25,5599,2693,2906,1554,857,14.88333035,19229,78,18.73332977,27776,89,3.83333611,5487,86,80.004,101.364,0,5.241,13.958,65.455,0,5.709,12.541,0,60.485,0,4.875,0,0,0,0,5.3,5.624,2.18,0,0,0,0,0,5.241,0,29.821,0,5.709,12.541,0,4.637,0,4.875,0,0,0,0,0,0,2.18,0,0,0,0,0,0,13.958,35.634,0,0,0,0,20.848,0,0,0,0,0,0,5.3,5.624,0,0,0,0,0,0,35.6124,10.6082,16.3312,9.1332,7.7172,0.1062,33.2524,2.573108,2.141818,29.957132,1.398517146
462933,2510088 VDEDEA,2,175.4700012,55.52999496,39.1333313,6.79999971,8.59666508,50135,91.84999847,5837.5,3115,5799,2760,3039,1571,751,15.14999962,20115,80,18.45000076,26891,87,1.450001,1976,82,78.158,97.312,0,5.091,13.698,55.438,0,6.842,12.911,0,61.661,0,5.393,0,0,0,0,5.652,6.815,1.969,0,0,0,0,0,5.091,0,22.415,0,6.842,12.911,0,5.343,0,5.393,0,0,0,0,0,3.194,1.969,0,0,0,0,0,0,13.698,33.023,0,0,0,0,21.318,0,0,0,0,0,0,5.652,3.621,0,0,0,0,0,0,36.6154,11.1156,16.6734,10.325,7.6936,0.1062,28.202,2.59128,2.086122,25.40717,1.356206294
462952,251036 DEA,2,183.4109955,50.56666183,36.46666336,6.29999971,6.79999803,49305,97.08999634,5118.75,2167.5,5973,3027,2946,1606,509,15.11666965,21917,87,16.53333092,25087,91,0.78333467,1152,88,79.898,103.513,0,6.141,0,46.739,0,0,10.671,8.075,65.421,0,14.514,0,0,12.908,0,5.456,9.232,4.254,0,0,0,0,0,6.141,0,18.088,0,0,10.671,8.075,0,0,14.514,0,0,0,0,0,3.155,4.254,0,0,0,0,0,0,0,28.651,0,0,0,0,30.421,0,0,0,0,12.908,0,5.456,6.077,0,0,0,0,0,0,33.8306,8.6376,16.0952,7.5756,7.3986,0.118,41.9018,2.480242,2.117038,37.74938,1.429212363
462953,251036 DEA,2,183.2839966,51.81665802,40.31666183,6.23333311,4.26666495,55215,97.41000366,5817.5,2427.5,5839,2760,3079,1585,670,13.28332996,19721,89,18.04999924,27282,91,4.95000076,7063,86,75.778,107.506,0,7.355,0,48.306,0,0,14.184,7.381,61.245,0,15.676,0,0,12.917,0,5.693,6.88,3.647,0,0,0,0,0,7.355,0,9.259,0,0,14.184,7.381,0,0,15.676,0,0,0,0,0,3.276,3.647,0,0,0,0,0,0,0,39.047,0,0,0,0,26.245,0,0,0,0,12.917,0,5.693,3.604,0,0,0,0,0,0,30.8688,8.9916,16.284,7.8824,7.5992,0.1062,42.421,2.236926,1.946292,38.217132,1.27734375
462954,251036 DEA,2,183.1849976,54.08333588,38.18333435,6.5999999,8.3,50955,95.41999817,5361.25,3187.5,5852,2773,3079,1554,405,13.80000019,19264,84,18.38334084,27736,91,2,2807,84,81.436,101.749,0,6.637,0,55.463,0,0,12.543,7.735,59.424,0,12.985,0,0,10.415,0,5.498,7.872,4.613,0,0,0,0,0,6.637,0,18.887,0,0,12.543,7.735,0,0,12.985,0,0,0,0,0,3.036,4.613,0,0,0,0,0,0,0,36.576,0,0,0,0,24.424,0,0,0,0,10.415,0,5.498,4.836,0,0,0,0,0,0,34.7156,9.558,15.9064,8.4724,7.0328,0.1062,36.757,2.57535,2.142998,33.114458,1.424007744
